asset_class,sec_type,ibkr_symbol,display_name,ibkr_exchange,yahoo_symbol,eq_country,eq_sector_proxy,dir_exposure,fi_mod_duration,fi_tenor,cm_sector
EQ,STK,SPY,US,SMART,SPY,US,,L,,,
EQ,STK,VOO,US,SMART,VOO,US,,L,,,
EQ,STK,SPYL,US,LSEETF,SPYL.L,US,SPY,L,,,
EQ,STK,SOXX,US Semiconductor,SMART,SOXX,US,,L,,,
EQ,STK,QQQ,NASDAQ 100,SMART,QQQ,US,,L,,,
EQ,STK,SOXL,Semiconductor 3x,SMART,SOXL,US,,L,,,
EQ,STK,TQQQ,NASDAQ 100 3x,SMART,TQQQ,US,QQQ,L,,,
EQ,STK,SQQQ,NASDAQ 100 -3x,SMART,SQQQ,US,QQQ,S,,,
EQ,FUT,VXM,VIX Mini,CFE,^VIX,,SPY,S,,,
EQ,FUT,VIX,VIX,CFE,^VIX,,SPY,S,,,
EQ,STK,XLK,Technology,SMART,XLK,US,,L,,,
EQ,STK,XLF,Financials,SMART,XLF,US,,L,,,
EQ,STK,XLV,Health Care,SMART,XLV,US,,L,,,
EQ,STK,XLY,Consumer Discretionary,SMART,XLY,US,,L,,,
EQ,STK,XLP,Consumer Staples,SMART,XLP,US,,L,,,
EQ,STK,XLE,Energy,SMART,XLE,US,,L,,,
EQ,STK,XLI,Industrials,SMART,XLI,US,,L,,,
EQ,STK,XLB,Materials,SMART,XLB,US,,L,,,
EQ,STK,XLU,Utilities,SMART,XLU,US,,L,,,
EQ,STK,XLRE,Real Estate,SMART,XLRE,US,,L,,,
EQ,STK,XLC,Communication Services,SMART,XLC,US,,L,,,
EQ,STK,TSLA,TSLA,SMART,TSLA,US,XLK,L,,,
EQ,STK,IEUR,EU,SMART,IEUR,EU,,L,,,
EQ,STK,VEA,DM,SMART,VEA,DM,,L,,,
EQ,STK,XMME,EM,LSEETF,XMME.L,EM,,L,,,
EQ,STK,FLKR,KR,SMART,FLKR,KR,,L,,,
EQ,STK,KWEB,China,SMART,KWEB,CN,,L,,,
EQ,STK,ASHR,China,SMART,ASHR,CN,,L,,,
EQ,STK,IEMG,EM,SMART,IEMG,EM,,L,,,
EQ,STK,ACWD,ACWI,LSEETF,ACWD.L,ACWI,,L,,,
EQ,STK,XMBD,Brazil,LSEETF,XMBD.L,BR,,L,,,
CASH,CASH,SGD,Cash,MANUAL,,,,L,,,
CASH,STK,BOXX,Cash,SMART,BOXX,,,L,,,
FI,STK,TLT,20Y+ US,SMART,TLT,,,L,16.5,20Y+,
FI,STK,LQD,CR,SMART,LQD,,,L,8.379,7-10Y,
FI,FUT,ZN,10Y US,CBOT,ZN=F,,,L,7.668,7-10Y,
FI,FUT,ZF,5Y US,CBOT,ZF=F,,,L,4.341,3-5Y,
FI,FUT,ZT,2Y US,CBOT,ZT=F,,,L,1.881,1-3Y,
FI,FUT,BTP,10Y Italy,EUREX,BTP10.MI,,,L,7.734,7-10Y,
FI,FUT,BTS,2Y Italy,EUREX,,,,L,1.892,1-3Y,
FI,FUT,OAT,10Y France,EUREX,,,,L,7.751,7-10Y,
FI,FUT,R,10Y UK,ICEEU,,,,L,8.17,7-10Y,
FI,FUT,XT,10Y AU,SNFE,,,,L,1,7-10Y,
FI,FUT,YT,3Y AU,SNFE,,,,L,1,1-3Y,
CM,STK,GLD,Gold,SMART,GLD,,,L,,,PM
CM,STK,GDX,Gold Miners,SMART,GDX,,,L,,,PM
CM,STK,SLV,Silver,SMART,SLV,,,L,,,PM
CM,STK,COPX,Copper Miners,SMART,COPX,,,L,,,IM
CM,FUT,NG,Natural Gas,NYMEX,NG=F,,,L,,,EN
CM,FUT,CL,WTI Crude Oil,NYMEX,CL=F,,,L,,,EN
CM,FUT,MCL,Micro WTI Crude Oil,NYMEX,CL=F,,,L,,,EN
MACRO,STK,DBMF,Trend,SMART,DBMF,,,L,,,
MACRO,STK,DBMF,Trend,SBF,DBMF.L,,,L,,,
FX,FUT,AUD,AUD FX Future,CME,6A=F,,,L,,,
FX,FUT,EUR,EUR FX Future,CME,6E=F,,,L,,,
FX,FUT,GBP,GBP FX Future,CME,6B=F,,,L,,,
