as_of,account,internal_id,con_id,symbol,local_symbol,exchange,currency,source,quantity,avg_cost,latest_price,market_value,cost_basis,unrealized_pnl,weight
2026-03-26T14:09:26+00:00,U2935967,IBKR:91812967,91812967,ACWD,ACWD,LSEETF,USD,ibkr,300.0,299.38974535,282.34020995,84702.06,89816.923605,-5114.863605000006,0.026803568327011983
2026-03-26T14:09:26+00:00,U2935967,IBKR:137868087,137868087,ASHR,ASHR,ARCA,USD,ibkr,100.0,33.315,32.20399855,3220.4,3331.5,-111.09999999999991,0.001019080426619015
2026-03-26T14:09:26+00:00,U2935967,IBKR:496647009,496647009,AUD,6AM6,CME,USD,ibkr,6.0,70498.52563335,0.69177995,415067.98,422991.1538001,-7923.17380009999,0.13134630919584298
2026-03-26T14:09:26+00:00,U2935967,IBKR:211651700,211651700,COPX,COPX,ARCA,USD,ibkr,200.0,79.3509,72.8686905,14573.74,15870.179999999998,-1296.4399999999987,0.004611791447222271
2026-03-26T14:09:26+00:00,U2935967,IBKR:515416076,515416076,DBMF,DBMF,ARCA,USD,ibkr,300.0,30.3906,29.8326397,8949.79,9117.18,-167.38999999999942,0.002832118932850141
2026-03-26T14:09:26+00:00,U2935967,IBKR:774094650,774094650,DBMF,DBMF,SBF,USD,ibkr,200.0,133.257238,126.26999665,25254.0,26651.4476,-1397.4475999999995,0.007991509468959322
2026-03-26T14:09:26+00:00,U2935967,IBKR:496647057,496647057,EUR,6EM6,CME,USD,ibkr,1.0,148152.6923,1.15847995,144809.99,148152.6923,-3342.7023000000045,0.045824439941589634
2026-03-26T14:09:26+00:00,U2935967,IBKR:295156289,295156289,FLKR,FLKR,ARCA,USD,ibkr,600.0,34.89148085,40.24889375,24149.34,20934.88851,3214.4514899999995,0.007641945009864501
2026-03-26T14:09:26+00:00,U2935967,IBKR:496647091,496647091,GBP,6BM6,CME,USD,ibkr,1.0,84446.4423,1.33525695,83453.56,84446.4423,-992.8822999999975,0.026408486376746847
2026-03-26T14:09:26+00:00,U2935967,IBKR:51529211,51529211,GLD,GLD,ARCA,USD,ibkr,185.0,424.4371892,408.29003905,75533.66,78520.88000199999,-2987.2200019999873,0.023902271288316863
2026-03-26T14:09:26+00:00,U2935967,IBKR:115826951,115826951,IEMG,IEMG,ARCA,USD,ibkr,375.0,62.98293495,69.31399535,25992.75,23618.600606250002,2374.149393749998,0.00822528343031965
2026-03-26T14:09:26+00:00,U2935967,IBKR:155518918,155518918,IEUR,IEUR,ARCA,USD,ibkr,1000.0,64.042804,69.13368225,69133.68,64042.804000000004,5090.875999999989,0.021877027732002997
2026-03-26T14:09:26+00:00,U2935967,IBKR:132310537,132310537,KWEB,KWEB,ARCA,USD,ibkr,1300.0,38.54268585,28.48399925,37029.2,50105.491604999996,-13076.291604999999,0.011717716101528016
2026-03-26T14:09:26+00:00,U2935967,IBKR:15547816,15547816,LQD,LQD,ARCA,USD,ibkr,400.0,111.3686985,108.48000335,43392.0,44547.4794,-1155.4793999999965,0.01373119422178993
2026-03-26T14:09:26+00:00,U2935967,IBKR:12658194,12658194,SOXX,SOXX,NASDAQ,USD,ibkr,60.0,335.864875,337.4451294,20246.71,20151.892499999998,94.81750000000102,0.006406976109934006
2026-03-26T14:09:26+00:00,U2935967,IBKR:756733,756733,SPY,SPY,ARCA,USD,ibkr,100.0,659.057911,654.2659912,65426.6,65905.7911,-479.19110000000364,0.020703939709424805
2026-03-26T14:09:26+00:00,U2935967,IBKR:701332964,701332964,SPY,SPY   260618P00620000,AMEX,USD,ibkr,-2.0,1181.3528,14.8999996,-2980.0,-2362.7056,-617.2944000000002,-0.0009430069778054479
2026-03-26T14:09:26+00:00,U2935967,IBKR:792205176,792205176,SPY,SPY   260918P00550000,AMEX,USD,ibkr,-1.0,1650.8485,11.2595415,-1125.95,-1650.8485,524.8985,-0.0003563015794161222
2026-03-26T14:09:26+00:00,U2935967,IBKR:663368035,663368035,SPYL,SPYL,LSEETF,USD,ibkr,4000.0,17.04478435,16.19633675,64785.35,68179.1374,-3393.7874000000083,0.02050101916428462
2026-03-26T14:09:26+00:00,U2935967,IBKR:76792991,76792991,TSLA,TSLA,NASDAQ,USD,ibkr,15.0,332.2143,383.5992737,5753.99,4983.2145,770.7754999999997,0.001820823060477439
2026-03-26T14:09:26+00:00,U2935967,IBKR:45444192,45444192,VEA,VEA,ARCA,USD,ibkr,800.0,62.7305176,63.4060974,50724.88,50184.41408,540.4659199999951,0.01605164959340403
2026-03-26T14:09:26+00:00,U2935967,IBKR:136155102,136155102,VOO,VOO,ARCA,USD,ibkr,170.0,616.8818053,603.37835695,102574.32,104869.906901,-2295.586900999988,0.032459160907264736
2026-03-26T14:09:26+00:00,U2935967,IBKR:280904359,280904359,XMME,XMME,LSEETF,USD,ibkr,200.0,79.7337365,77.8041229,15560.82,15946.7473,-385.9273000000012,0.00492414826858207
2026-03-26T14:09:26+00:00,U2935967,IBKR:818615223,818615223,ZF,ZFM6,CBOT,USD,ibkr,4.0,109712.5943,107.8125,431250.0,438850.3772,-7600.377199999988,0.1364670332814092
2026-03-26T14:09:26+00:00,U2935967,IBKR:815824229,815824229,ZN,ZNM6,CBOT,USD,ibkr,1.0,113212.7578,110.625,110625.0,113212.7578,-2587.7578000000067,0.03500676071131801
2026-03-26T14:09:26+00:00,U2935967,IBKR:818615229,818615229,ZT,ZTM6,CBOT,USD,ibkr,6.0,209064.1568,103.5,1242000.0,1254384.9408,-12384.940799999982,0.3930250558504585
