period,n,majority_regime,majority_share,stress_share,disagreement_share,macro_g_avg,macro_i_avg,market_g_avg,market_i_avg,final_g_avg,final_i_avg,risk_avg
2008 GFC,87,Slowdown / Deflationary Slowdown + Stress Overlay,0.9885057471264368,1.0,0.5977011494252874,-2.8731960025827923,-0.16570663071408767,-1.7484769489089673,-2.539005834075414,-2.2546005230621886,-1.5896861527308834,2.280867863769148
2009-10 Recovery,325,Down Growth / Neutral/Mixed Inflation,0.4492307692307692,0.0,0.6153846153846154,-3.756897164051694,-1.2349056915427987,0.7616285090262277,0.23171892132032645,-1.2717080438588373,-0.35493092382492364,-0.33928731487304886
2011 Euro / US downgrade,131,Goldilocks / Expansion,0.8091603053435115,0.19083969465648856,0.648854961832061,2.7371257864838685,-0.7798021343912267,-0.5609967950572468,-0.21309990364206916,0.9231583666362551,-0.4397807959417322,0.24363221148360634
2014-16 Oil collapse,413,Goldilocks / Expansion,0.4188861985472155,0.36319612590799033,0.576271186440678,1.3357333048432685,-1.9438260880002889,-0.6174741199106789,-0.8498728571803252,0.26146922122859745,-1.287454149508311,0.5597683365919202
2017 Soft landing,260,Goldilocks / Expansion,1.0,0.0,0.5038461538461538,1.6476105027580248,-1.390159423391218,0.3884501487245853,0.42083983628227356,0.9550723080396331,-0.30355986758712306,-0.7549796151032364
2018 Q4 Selloff,65,Goldilocks / Expansion,0.38461538461538464,0.49230769230769234,0.8923076923076924,2.414461999559311,-0.4206497555726614,-1.369747968708803,-0.9418584859029514,0.33314651701184816,-0.7333749937708353,0.8156940673154025
2020 COVID shock,53,Slowdown / Deflationary Slowdown + Stress Overlay,0.7547169811320755,0.8867924528301887,0.7169811320754716,0.2611305074748431,-1.7659732782193986,-1.6536324531130258,-2.1285888668419966,-0.7919891208484848,-1.9835426313929576,2.1455165901042825
2020H2-21 Reopening,392,Reflation,0.39285714285714285,0.0,0.5255102040816326,2.329249108750543,0.1625515581939967,0.48425299817396356,0.670514103920291,1.3145012479334244,0.46732908562977327,-0.22545239315369014
2022 Inflation / Tightening,260,Reflation,0.8,0.2,0.7884615384615384,3.9108700186209218,3.405251239545431,-0.6056236486285245,0.06428831400289414,1.4267985016337263,1.400673484219909,0.42085110826637595
2023-24 Disinflation,413,Goldilocks / Expansion,0.5230024213075061,0.01937046004842615,0.3365617433414044,0.853671419732029,0.8248818606888806,0.3051702557980387,-0.23770476054816553,0.5519957795683343,0.18732988794665295,-0.3899404994369006
2025 Tariff shock (Apr),21,Neutral/Mixed Growth / Neutral/Mixed Inflation + Stress Overlay,0.47619047619047616,0.8095238095238095,1.0,1.3547796520207689,0.21307403113583961,-1.6210927610606614,-0.6397341349746435,-0.2819501751740178,-0.2986108685304503,1.5108866634745273
2026 YTD,89,Neutral/Mixed Growth / Up Inflation,0.33707865168539325,0.10112359550561797,0.4606741573033708,1.2692370201183287,0.13905047441628926,-0.40589624570946586,1.493618238599081,0.32194517017936847,0.9894740429262567,-0.07458030598839409
