year,disagreement_flag
1995,0.023076923076923078
1996,0.06870229007633588
1997,0.04980842911877394
1998,0.04597701149425287
1999,0.07662835249042145
2000,0.1346153846153846
2001,0.17624521072796934
2002,0.24904214559386972
2003,0.4482758620689655
2004,0.0
2005,0.0038461538461538464
2006,0.18076923076923077
2007,0.0
2008,0.3435114503816794
2009,0.6475095785440613
2010,0.08812260536398467
2011,0.20384615384615384
2012,0.18773946360153257
2013,0.019157088122605363
2014,0.1724137931034483
2015,0.24521072796934865
2016,0.4367816091954023
2017,0.3269230769230769
2018,0.09195402298850575
2019,0.11494252873563218
2020,0.44274809160305345
2021,0.24904214559386972
2022,0.7307692307692307
2023,0.5692307692307692
2024,0.2748091603053435
2025,0.019157088122605363
2026,0.0
