period,n,majority_regime,majority_share,stress_share,disagreement_share,macro_g,macro_i,market_g,market_i,final_g,final_i
2008 GFC,87,Slowdown / Deflationary Slowdown + Stress Overlay,0.6666666666666666,0.6666666666666666,0.5747126436781609,-0.8195582520915953,0.131068809954316,-0.5299876791394791,-0.8113164311984178,-0.6602944369679314,-0.43436233473732433
2009-10 Recovery,325,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.6307692307692307,0.0,0.4707692307692308,-0.47801908123895226,-0.33391592372476425,0.27586988081075237,0.15440476840225015,-0.06338015211161471,-0.04092350844855563
2011 Euro / US downgrade,131,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.6183206106870229,0.0,0.24427480916030533,0.3441342287295577,-0.22863999566885007,-0.21505577918060004,-0.12451841549323797,0.03657972437897091,-0.16616704756348283
2014-16 Oil collapse,413,Neutral/Mixed Growth / Down Inflation,0.6029055690072639,0.01694915254237288,0.24939467312348668,0.1661796770093792,-0.5601652272010987,-0.20528674007290953,-0.22823945965154638,-0.03812685238587964,-0.3610097666713673
2017 Soft landing,260,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.4230769230769231,0.0,0.2423076923076923,0.17755576408950396,-0.40243532439120416,0.19332829952561686,0.15500979412303478,0.18623065857936605,-0.06796825328266078
2018 Q4 Selloff,65,Neutral/Mixed Growth / Down Inflation,0.4307692307692308,0.07692307692307693,0.0,0.127707116284786,-0.13441746608484248,-0.35883391006293924,-0.35527469663648764,-0.13989044820646288,-0.2669318044158296
2020 COVID shock,53,Slowdown / Deflationary Slowdown + Stress Overlay,0.5849056603773585,0.6226415094339622,0.0,-0.24231787796877058,-0.3120158703907591,-0.41149887065816104,-0.5098438468124935,-0.33536742394793534,-0.4307126562437997
2020H2-21 Reopening,392,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.6275510204081632,0.0,0.3647959183673469,0.10833285834956832,-0.14455013702975708,0.1873594925749686,0.2597307552349307,0.1517975071735385,0.09801839832905558
2022 Inflation / Tightening,260,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.6423076923076924,0.0,0.47307692307692306,0.31038787953135494,0.5720066752918467,-0.17109018469843582,-0.052445974016461276,0.045574944204970026,0.1973350857068619
2023-24 Disinflation,413,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.5205811138014528,0.0,0.27602905569007263,-0.023866430509304783,0.5134606460096025,0.09126789759096338,-0.05265212495490676,0.03945744994584271,0.17379298343089697
2025 Tariff shock (Apr),21,Down Growth / Neutral/Mixed Inflation,0.5238095238095238,0.23809523809523808,0.0,0.04367935605292626,0.2546972702275468,-0.445912827153338,-0.11965807321950526,-0.225596344710519,0.03008406415931558
2026 YTD,92,Neutral/Mixed Growth / Up Inflation,0.8043478260869565,0.0,0.0,0.017769405718111808,0.16209298794637397,-0.04851928843628617,0.32342319733265296,-0.016863275847359506,0.26588207744827547
